City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Celestun,MX,20.8667,-90.4,74.97,60,5,9.93,clear sky
203,Cockburn Town,TC,21.4612,-71.1419,80.6,74,40,11.5,scattered clouds
204,Comodoro Rivadavia,AR,-45.8667,-67.5,80.6,28,0,11.5,clear sky
205,Klaksvik,FO,62.2266,-6.589,44.6,93,75,13.8,broken clouds
206,Ayacucho,PE,-13.1583,-74.2239,62.6,67,75,8.05,broken clouds
207,Srednekolymsk,RU,67.45,153.6833,-10.89,73,10,5.19,clear sky
208,Lasa,IT,46.6166,10.7002,53.6,69,40,10.36,scattered clouds
209,Estelle,US,29.8458,-90.1067,69.01,52,75,11.5,broken clouds
210,Longyearbyen,SJ,78.2186,15.6401,15.8,73,75,14.97,broken clouds
211,Souillac,MU,-20.5167,57.5167,78.8,89,75,10.36,light rain
212,Buala,SB,-8.145,159.5921,79.43,83,96,3.76,light rain
213,Hofn,IS,64.2539,-15.2082,44.91,84,78,13.87,broken clouds
214,Beloha,MG,-25.1667,45.05,77.07,76,34,6.82,scattered clouds
215,Colomi,BO,-17.35,-65.8667,66.2,63,40,4.61,scattered clouds
216,Leh,IN,34.1667,77.5833,30.0,55,85,7.25,overcast clouds
217,Sao Raimundo Nonato,BR,-9.0153,-42.6994,85.64,55,60,7.81,broken clouds
218,Nanortalik,GL,60.1432,-45.2371,25.07,77,100,29.8,overcast clouds
219,Tabuk,PH,17.4189,121.4443,73.17,92,75,2.77,moderate rain
220,Matara,LK,5.9485,80.5353,76.48,87,100,3.51,overcast clouds
221,Clyde River,CA,70.4692,-68.5914,-11.2,77,1,13.8,clear sky
222,Pinsk,BY,52.1229,26.0951,29.77,93,100,11.97,light snow
223,Salalah,OM,17.0151,54.0924,78.8,89,0,3.44,clear sky
224,Meadow Lake,US,34.8014,-106.5436,66.0,25,40,10.31,scattered clouds
225,Praia,CV,14.9215,-23.5087,77.0,50,0,19.57,clear sky
226,Boshan,CN,36.4833,117.8333,44.01,37,0,6.02,clear sky
227,Manono,CD,-7.3,27.4167,74.03,85,74,2.77,broken clouds
228,Ternate,ID,0.8,127.4,81.07,81,47,4.07,scattered clouds
229,San Cristobal,VE,7.7669,-72.225,84.2,61,20,11.5,few clouds
230,Ossora,RU,59.2353,163.0719,-4.9,73,0,1.97,clear sky
231,Saskylakh,RU,71.9167,114.0833,-29.0,99,92,2.73,overcast clouds
232,Galle,LK,6.0367,80.217,77.16,86,100,3.4,overcast clouds
233,Daru,PG,-9.0763,143.2092,79.88,86,64,4.0,broken clouds
234,Ornskoldsvik,SE,63.2909,18.7153,30.2,51,0,11.5,clear sky
235,Bunga,PH,11.4838,124.5918,77.88,89,87,7.72,overcast clouds
236,Lavrentiya,RU,65.5833,-171.0,-0.33,82,100,4.12,overcast clouds
237,Namatanai,PG,-3.6667,152.4333,80.15,77,100,1.9,light rain
238,Bara,NG,10.3744,10.7288,93.22,18,100,1.72,overcast clouds
239,Maceio,BR,-9.6658,-35.7353,84.2,65,75,12.66,broken clouds
240,Genhe,CN,50.7833,121.5167,9.68,95,40,2.82,scattered clouds
241,Maniitsoq,GL,65.4167,-52.9,17.11,85,58,17.16,broken clouds
242,Laguna,US,38.421,-121.4238,57.2,47,1,16.11,clear sky
243,Lagos,NG,6.5833,3.75,86.0,70,20,8.05,few clouds
244,Lompoc,US,34.6391,-120.4579,59.0,41,20,10.36,few clouds
245,Kavaratti,IN,10.5669,72.642,82.85,72,16,9.6,few clouds
246,Deputatskiy,RU,69.3,139.9,-20.83,89,31,2.13,scattered clouds
247,Pemangkat,ID,1.1667,108.9667,77.88,88,100,5.46,light rain
248,Charters Towers,AU,-20.1,146.2667,72.7,97,100,8.68,overcast clouds
249,Sorong,ID,-0.8833,131.25,80.71,81,99,6.49,overcast clouds
250,Ostersund,SE,63.1792,14.6357,30.0,93,20,10.36,snow
251,Sazava,CZ,49.8716,14.8967,39.0,80,97,1.01,overcast clouds
